Section,Item,Description,Unit,Quantity,SSR item,Rate (Rs),Amount (Rs),Status,Basis / note
I · ELECTRICAL AND EMP INSTALLATION,EL-04,"Earthing installation, 5 ohm target, IS 3043",item,,—,,,NOT PRICED,"NOT PRICED.  NO ELECTRICAL DESIGN PACKAGE EXISTS — no quantity, and for EL-03 and EL-07 no SSR item either.  The SSR's water-supply and sanitary chapters 41-43 hold no EMP or shielding item of any kind"
I · ELECTRICAL AND EMP INSTALLATION,EL-05,"Lighting, small power and emergency lighting",item,,—,,,NOT PRICED,"NOT PRICED.  NO ELECTRICAL DESIGN PACKAGE EXISTS — no quantity, and for EL-03 and EL-07 no SSR item either.  The SSR's water-supply and sanitary chapters 41-43 hold no EMP or shielding item of any kind"
I · ELECTRICAL AND EMP INSTALLATION,EL-06,"Generator connection, changeover and protection",item,,—,,,NOT PRICED,"NOT PRICED.  NO ELECTRICAL DESIGN PACKAGE EXISTS — no quantity, and for EL-03 and EL-07 no SSR item either.  The SSR's water-supply and sanitary chapters 41-43 hold no EMP or shielding item of any kind"
I · ELECTRICAL AND EMP INSTALLATION,EL-07,"EMP protection to every service penetration (power PCI, waveguide-below-cutoff, fibre)",item,,—,,,NOT PRICED,"NOT PRICED.  NO ELECTRICAL DESIGN PACKAGE EXISTS — no quantity, and for EL-03 and EL-07 no SSR item either.  The SSR's water-supply and sanitary chapters 41-43 hold no EMP or shielding item of any kind"
J · PRINCIPAL MATERIALS — PROCUREMENT VOLUMES,M-01,"Cement, OPC 43 grade to IS 269, all works",t,194.169,—,,,INCLUDED — not separately payable,"PROCUREMENT MEMORANDUM, NOT A PAYABLE ITEM — cement is inside every composite rate above.  At the SSR general rate of Rs 6 000 / M.T. this volume carries Rs 1 165 014 of cement INSIDE those rates"
J · PRINCIPAL MATERIALS — PROCUREMENT VOLUMES,M-02,"Coarse and fine aggregate to IS 383, all concrete",t,828.661,—,,,INCLUDED — not separately payable,"PROCUREMENT MEMORANDUM.  Inside the composite rates.  SSR general rates: 20 mm aggregate Rs 1 050 / m3, crushed sand Rs 1 200 / m3"
J · PRINCIPAL MATERIALS — PROCUREMENT VOLUMES,M-03,"Water for concrete, mortar and curing — site supply",item,,—,,,INCLUDED — not separately payable,PROCUREMENT MEMORANDUM.  Curing and watering are inside every SSR item.  SSR general rate for water is Rs 213 / 1 000 litre
K · ITEMS ADDED BY OWNER RULING RC4 (master H.28),RC4-01,"Strip expansive CH horizon to 1.000 m below existing ground under and 1.000 m beyond the entry stairwell stepped raft, cart away and dispose",m3,8.0,21.02,207,1656.0,PRICED,RC4 recorded this as '[A] NOT PRICED' because no rate existed.  A RATE NOW EXISTS.  The QUANTITY tag stays [R] and the ruling is untouched — only the rate column is filled
K · ITEMS ADDED BY OWNER RULING RC4 (master H.28),RC4-02,"Supply and place free-draining granular replacement fill, FSI <= 20 % to IS 2720 Pt XL, in 200 mm layers compacted to >= 95 % MDD, incl. 50 mm sand blinding",m3,8.0,21.37,599,4792.0,PRICED,"As RC4-01.  SSR 21.37 is filling with contractor's material in 15-20 cm layers, watered and compacted — the specified work, at a TIGHTER layer thickness than the schedule assumes"
"L · PROTECTIVE PLANT, CLOSURES AND SERVICES — OUTSIDE THE SSR",Z-01,"Blast Doors 1 and 2, >= 7 bar, rebound-rated",set,2,—,,,NOT PRICED,"NOT IN THE WM1 BILL AND NOT IN THE SSR.  Recorded here so the estimate is honest about its boundary: the owner's own bill (Cost/USER_BOQ_*, Cost/REVISED_BOQ_*_RC1) prices these from vendor figures.  SSR General Notes Section B: 'The items for which rates are not included in State Schedule of Rates, the rates shall be approved by concerned Superintending Engineer, PWD'"
"L · PROTECTIVE PLANT, CLOSURES AND SERVICES — OUTSIDE THE SSR",Z-02,"Emergency exit hatches, 900 clear, 621 kPa",set,2,—,,,NOT PRICED,"NOT IN THE WM1 BILL AND NOT IN THE SSR.  Recorded here so the estimate is honest about its boundary: the owner's own bill (Cost/USER_BOQ_*, Cost/REVISED_BOQ_*_RC1) prices these from vendor figures.  SSR General Notes Section B: 'The items for which rates are not included in State Schedule of Rates, the rates shall be approved by concerned Superintending Engineer, PWD'"
"L · PROTECTIVE PLANT, CLOSURES AND SERVICES — OUTSIDE THE SSR",Z-03,Fast-acting blast valves BV-1 to BV-3 (DN100),set,3,—,,,NOT PRICED,"NOT IN THE WM1 BILL AND NOT IN THE SSR.  Recorded here so the estimate is honest about its boundary: the owner's own bill (Cost/USER_BOQ_*, Cost/REVISED_BOQ_*_RC1) prices these from vendor figures.  SSR General Notes Section B: 'The items for which rates are not included in State Schedule of Rates, the rates shall be approved by concerned Superintending Engineer, PWD'"
"L · PROTECTIVE PLANT, CLOSURES AND SERVICES — OUTSIDE THE SSR",Z-04,Generator blast valves BV-4 and BV-5 (DN350),set,2,—,,,NOT PRICED,"NOT IN THE WM1 BILL AND NOT IN THE SSR.  Recorded here so the estimate is honest about its boundary: the owner's own bill (Cost/USER_BOQ_*, Cost/REVISED_BOQ_*_RC1) prices these from vendor figures.  SSR General Notes Section B: 'The items for which rates are not included in State Schedule of Rates, the rates shall be approved by concerned Superintending Engineer, PWD'"
"L · PROTECTIVE PLANT, CLOSURES AND SERVICES — OUTSIDE THE SSR",Z-05,"NBC collective protection trains, 2 x 300 m3/h",set,2,—,,,NOT PRICED,"NOT IN THE WM1 BILL AND NOT IN THE SSR.  Recorded here so the estimate is honest about its boundary: the owner's own bill (Cost/USER_BOQ_*, Cost/REVISED_BOQ_*_RC1) prices these from vendor figures.  SSR General Notes Section B: 'The items for which rates are not included in State Schedule of Rates, the rates shall be approved by concerned Superintending Engineer, PWD'"
"L · PROTECTIVE PLANT, CLOSURES AND SERVICES — OUTSIDE THE SSR",Z-06,"Sealed Zone-2 welded EMP enclosure, 3 x 3 x 2.4 m",item,1,—,,,NOT PRICED,"NOT IN THE WM1 BILL AND NOT IN THE SSR.  Recorded here so the estimate is honest about its boundary: the owner's own bill (Cost/USER_BOQ_*, Cost/REVISED_BOQ_*_RC1) prices these from vendor figures.  SSR General Notes Section B: 'The items for which rates are not included in State Schedule of Rates, the rates shall be approved by concerned Superintending Engineer, PWD'"
"L · PROTECTIVE PLANT, CLOSURES AND SERVICES — OUTSIDE THE SSR",Z-07,"Submersible sump pumps, effluent piping and septic",set,1,—,,,NOT PRICED,"NOT IN THE WM1 BILL AND NOT IN THE SSR.  Recorded here so the estimate is honest about its boundary: the owner's own bill (Cost/USER_BOQ_*, Cost/REVISED_BOQ_*_RC1) prices these from vendor figures.  SSR General Notes Section B: 'The items for which rates are not included in State Schedule of Rates, the rates shall be approved by concerned Superintending Engineer, PWD'"
"L · PROTECTIVE PLANT, CLOSURES AND SERVICES — OUTSIDE THE SSR",Z-08,"Standby generator 15 kVA in bay 8, fuel system, exhaust and acoustic treatment",set,1,—,,,NOT PRICED,"NOT IN THE WM1 BILL AND NOT IN THE SSR.  Recorded here so the estimate is honest about its boundary: the owner's own bill (Cost/USER_BOQ_*, Cost/REVISED_BOQ_*_RC1) prices these from vendor figures.  SSR General Notes Section B: 'The items for which rates are not included in State Schedule of Rates, the rates shall be approved by concerned Superintending Engineer, PWD'"
"L · PROTECTIVE PLANT, CLOSURES AND SERVICES — OUTSIDE THE SSR",Z-09,"Testing, commissioning and envelope leakage test",item,1,—,,,NOT PRICED,"NOT IN THE WM1 BILL AND NOT IN THE SSR.  Recorded here so the estimate is honest about its boundary: the owner's own bill (Cost/USER_BOQ_*, Cost/REVISED_BOQ_*_RC1) prices these from vendor figures.  SSR General Notes Section B: 'The items for which rates are not included in State Schedule of Rates, the rates shall be approved by concerned Superintending Engineer, PWD'"
